Harekeli Kelime;Kelime;Anlam
"أَجْيَالًا";"أجيالا";"Nesiller, kuşaklar"
"أُجِيزَ";"أُجِيزَ";"İcazet verildi, izin verildi, ruhsat verildi"
"أَحَابِيشُ";"أحابيش";"Habeşliler, Habeşistan halkı"
"أَحَادِيثُ";"أحاديث";"Hadisler, sözler, konuşmalar"
"أَحَارَ";"أحار";"şaşırdı, tereddüt etti"
"أَحَاسِيسُ";"أحاسيس";"Duygular, hisler"
"أَحَاسِينُ";"أحاسين";"İyilikler, güzellikler"
"أَحَاطَ";"أحاط";"Kuşattı, çevreledi, kapsadı"
"أَحَاطَ بِ";"أحاط ب";"çevreledi, kuşattı, sardı"
"أُحَافِظُ";"أحافظ";"Koruyorum, muhafaza ediyorum"
"أَحَالَ";"أحال";"havale etti, sevk etti, dönüştürdü"
"أَحَبَّ";"أحب";"sevdi, sevmek"
"أَحَبَّ";"أَحَبَّ";"Sevmek, hoşlanmak, beğenmek"
"أَحَبِّ";"أحَبِّ";"Sev, hoşlan"
"أُحِبُّ";"أحب";"Seviyor, sever"
"أَحِبَّاءُ";"أحباء";"Sevgililer, aşıklar"
"أَحْبَابٌ";"أحباب";"Sevgililer, dostlar"
"أَحْبَبْتُ";"أحببت";"Sevdim"
"أَحِبَّةٌ";"أحبة";"Sevgililer, dostlar"
"أَحَبَّتْهَا";"أحبتها";"onu sevdi"
"أَحْبِسُ";"أحبس";"Hapsediyorum, alıkoyuyorum"
"أُحِبُّكَ";"أحبك";"Seni seviyorum, sevmek"
"أُحِبُّكَ يَا مُعَلِّمِي";"أحبك يا معلمي";"Seni seviyorum öğretmenim"
"أَحْبَلَ";"أحبل";"Hamile bırakmak"
"أَحْتَرِمُ";"أحترم";"Saygı duyuyorum, hürmet ediyorum"
"أَحْتَفِظُ";"أحتفظ";"Saklıyorum, muhafaza ediyorum"
"أَحْجِزُ";"أحجز";"Ayırtıyorum, rezerve ediyorum"
"أَحْجَمَ";"أحجم";"Geri durdu, çekindi, vazgeçti"
"أَحَدٌ";"أَحَد";"Bir, tek, herhangi biri, kimse"
"أَحْدَاثٌ";"أحداث";"Olaylar, hadiseler"
"أَحْدَبُ";"أحدب";"Kambur"
"أَحْدَثُ";"أحدث";"En yeni, en modern, en son"
"أُحْدُثٍ";"أُحدُثٍ";"Meydana gel, oluş, vuku bul"
"أُحْدُثْ";"أُحدُثْ";"Meydana gel, ol, vuku bul"
"أُحْدِثُ";"أُحدث";"Yaratırım, meydana getiririm, yenilerim"
"أَحْدَثَتْ";"أحدثت";"Meydana getirdi, oluşturdu, sebep oldu"
"أَحْدَسَ";"أحدَسَ";"meydana getirdi, icat etti, başlattı"
"أَحْذَقَ";"أحذق";"Daha becerikli oldu, daha usta oldu"
"أَحْذِيَةٌ";"أحذية";"Ayakkabılar"
"أَحْرَارٌ";"أحرار";"Özgürler, hürler"
"أَحْرَصُ";"أحرص";"Daha hevesli, daha istekli"
"أَحْرُفٌ";"أحرف";"Harfler"
"أَحْرُفٍ";"أحرف";"Harfler"
"أَحْرَقَ";"أحرق";"yakmak, tutuşturmak"
"أَحْرِقْ";"أَحْرِقْ";"Yak, tutuştur"
"أَحْرَى";"أحرى";"Daha layık, daha uygun, daha gerekli"
"أُحْرَى";"أُحْرَى";"Diğer, başka"
"أَحْزَابٌ";"أحزاب";"Partiler, gruplar, fırkalar, Ahzab Suresi"
"أَحْزَمُ";"أحزم";"Daha sağlam, daha sıkı, daha ihtiyatlı"
"أَحْزِمَةٌ";"أحزمة";"Kemerler, kuşaklar"
"أَحْزَنَ";"أحزن";"Üzmek, kederlendirmek"
"أَحْسَبُ";"أحسب";"Sanıyorum, düşünüyorum, hesaplıyorum"
"أَحْسَنْتَ";"أحسنت";"İyi yaptın, aferin"
"أَحْصِ";"أَحْصِ";"Say, hesapla, kaydet"
"أَحْصَدَ";"أَحْصَدَ";"Biçti, hasat etti"
"أَحْصُدُ";"أحصد";"Biçiyorum, hasat ediyorum"
"أَحْصُلُ";"أحصل";"elde ediyorum, alıyorum"
"أَحْصِنَةٌ";"أحصنة";"Atlar"
"أَحْصَى";"أحصى";"Saymak, kaydetmek, hesaplamak"
"أَحْصِي";"أحصي";"Saydı, hesapladı"
"أَحْضَانٌ";"أحضان";"Kucaklar, bağırlar"
"أَحْضَرَ";"أَحْضَرَ";"Getirdi, hazır etti, sundu"
"أَحْضُرُ";"أَحْضُرُ";"Getiriyorum, hazırlarım, katılıyorum"
"أُحَضِّرُ";"أُحضِّر";"Hazırlıyorum"
"أُحِضِّرُ";"أُحِضِّر";"Hazırlıyorum, getiriyorum"
"أَحْضَرَتْ";"أحْضَرَت";"Getirdi, hazır etti"
"أَحْضَرْتُ";"أحضرت";"Getirdim"
"أَحْطَرُ";"أحطر";"Daha tehlikeli, en tehlikeli"
"أَحْظُرُ";"أحظر";"Yasaklıyorum, engelliyorum"
"أَحْظَى";"أحظى";"Elde etti, kazandı, nail oldu"
"أَحْفَادٌ";"أحفاد";"Torunlar"
"أَحَقُّ";"أحق";"Daha haklı, daha layık, en haklı, en layık"
"أَحَقُّ بِـ";"أحق ب";"Daha layık, daha hak eden"
"أُحَقِّقَ";"أُحَقِّقَ";"Gerçekleştireyim, doğrulayayım"
"أَحَلَّ";"أحلّ";"Helal kıldı, izin verdi, indirdi, çözdü"
"أَحْلًا";"أَحْلاً";"Hoş geldin, merhaba"
"أَحْلَامٌ";"أحلام";"Rüyalar, düşler"
"أَحَلْتُ";"أحلت";"Helal kıldım, izin verdim"
"أَحْلَى";"أحلى";"Daha tatlı, en tatlı"
"أَحْمَالٌ";"أحمال";"Yükler, ağırlıklar"
"أَحْمَدُ";"أحمد";"Ahmet, övgüye layık"
"أَحْمَرُ";"أحمر";"Kırmızı"
"أَحْمَرُ دَاكِنٌ";"أحمر داكن";"Koyu kırmızı"
"أَحْمَرُ فَاتِحٌ";"أحمر فاتح";"Açık kırmızı"
"أَحْمَقُ";"أحمق";"Ahmak, aptal, budala"
"أَحْمِلُ";"أحمل";"Taşıyorum, yükleniyorum"
"أَحْنَى";"أحنى";"Eğdi, büktü"
"أَحْوَالٌ";"أحوال";"Durumlar, haller, koşullar"
"أَحْوَالُنَا";"أحوالنا";"Durumlarımız, hallerimiz"
"أَحْوَجَ";"أحوج";"İhtiyaç duyurdu, muhtaç etti"
"أَحْوَلُ";"أحول";"Şaşı, gözleri şaşı olan"
"أَحْيَا";"أحيا";"Diriltti, canlandırdı"
"أَحْيَاءُ";"أحياء";"Canlılar, yaşayanlar, mahalleler"
"أُحِيلَ";"أحيل";"Havale edildi, sevk edildi, gönderildi"
"أَخٌ";"أخ";"Kardeş, erkek kardeş"
"أَخٌ كَبِيرٌ";"أَخٌ كَبِيرٌ";"Ağabey"
"أَخَا";"أخا";"Kardeş (nasb halinde), dost"
"أَخَافَ";"أخاف";"korkuttu, korkutuyor"
"أَخَافُ";"أخاف";"Korkuyorum"
"أَخَاكَ";"أَخَاكَ";"Senin erkek kardeşin"
"أُخَالِفُكَ";"أخالفك";"Sana karşı geliyorum, sana muhalefet ediyorum"
"أُخَالِفُهُ";"أخالفه";"Ona karşı geliyorum, ona muhalefet ediyorum"
"أَخَاهُ";"أخاه";"Onun erkek kardeşi"
"أَخْبَارٌ";"أخبار";"Haberler, bilgiler"
"أَخْبَتُ";"أَخْبَتُ";"İtaat ediyorum, boyun eğiyorum"
"أَخْبِرْ";"أخْبِر";"Bildir, haber ver"
"أَخْبَرَ بِ";"أخبر ب";"bildirdi, haber verdi"
"أَخْبَرْتُ";"أخبرت";"Bildirdim, haber verdim"
"أُخْتٌ";"أخت";"Kız kardeş, abla"
"أُخْتُ شَرِيفَةَ";"أخت شريفة";"Şerifenin kız kardeşi, şerifenin kardeşi"
"أُخْتٌ كُبْرَى";"أخت كبرى";"Büyük kız kardeş"
"أَخْتَارُ";"أختار";"Seçiyor, tercih ediyor"
"أَخْتَفِي";"أختفي";"Gizleniyorum, saklanıyorum"
"أَخَذَ";"أخذ";"Almak, tutmak, yakalamak"
"أَخَذْتُ";"أخذ";"Aldım"
"أَخْذِ";"أخْذِ";"Alma, tutma, yakalama"
"أَخْذُ الثَّوْبِ";"أخذ الثوب";"Elbiseyi almak"
"أَخَذَ مِنْ";"أخذ من";"Aldı, edindi"
"أَخَذَا";"أخذا";"Aldılar"
"أَخَذْتُّنَّ";"أَخَذْتُّنَّ";"Aldınız (siz kadınlar)"
"أَخَّرَ";"أخر";"Geciktirdi, erteledi"
"أَخِّرْ";"أخرْ";"Geciktir, ertele"
"أَخْرُجُ";"أخرُج";"Çıkıyorum, çıkarım"
"أُخْرِجَ";"أُخْرِجَ";"ihraç edildi, çıkarıldı"
"أَخْرَقُ";"أخرق";"Beceriksiz, sakar, aptal"
"أَخْزَتْ";"أخزت";"Utandırdı, rezil etti"
"أَخْضَرُ";"أخضر";"Yeşil"
"أَخْطَأَ";"أخطأ";"Hata yapmak, yanılmak"
"أَخْطَارٌ";"أخطار";"Tehlikeler, riskler"
"أُخْطُبُوطٌ";"أخطبوط";"Ahtapot"
"أَخْطَرَ";"أخطر";"Tehlikeye attı, bildirdi, haber verdi"
"أَخْطِرْ";"أخطر";"Bildir, haber ver, tehlikeye at"
"أُخَطِّطُ";"أخطط";"Planlıyorum, tasarlıyorum"
"أَخْفِ";"أَخْفِ";"Gizle, sakla"
"أَخْفَافٌ";"أخفاف";"Deve tırnakları, deve ayakları"
"أَخْفِضْ";"أخْفِضْ";"İndir, alçalt"
"أَخْفَقَ";"أخفق";"Başarısız oldu, başarısızlığa uğradı"
"أَخْفَوْا";"أخفوا";"Gizlediler"
"أَخْلَاقٌ";"أخلاق";"Ahlak, huylar, karakter"
"أَخْلَاقُهَا";"أخلاقها";"Onun ahlakı, onun karakteri"
"أَخْلَاقِيٌّ";"أخلاقي";"Ahlaklı, etik"
"أَخْلُدُ";"أخلد";"Ebedi kalırım, ölümsüzleşirim"
"أَخْلَعُ";"أخلع";"Çıkarıyorum, soyunuyorum"
"أَخْلَقَ";"أخلق";"Eskitti, yıprattı"
"أَخْلُو";"أخلو";"Yalnız kalıyorum, halvet ediyorum"
"أَخْمَلَ";"أخمل";"Gizledi, sakladı, unutturdu"
"أَخَوَا";"أخوا";"İki kardeş"
"أَخَوَاتٌ";"أخوات";"Kız kardeşler"
"أَخَوَاتِي";"أخواتي";"Kız kardeşlerim"
"أَخَوَانِ";"أَخَوَانِ";"İki erkek kardeş"
"أُخُوَّةٌ";"أخوة";"Kardeşlik, kardeşlik bağı"
"أُخْوَةٌ";"أُخوة";"Kardeşlik, kardeşler"
"أَخُونُ";"أخون";"İhanet ediyorum, aldatıyorum"
"أَخِي";"أخي";"Kardeşim"
"أَخْيَارٌ";"أخيار";"İyiler, hayırlılar"
"أَخْيَالٌ";"أخيال";"Hayaller, gölgeler"
"أَخْيَرُ";"أَخْيَر";"Daha iyi, en iyi"
"أَخِيطُ";"أخيط";"Dikiyorum"
"أَخِيهِ";"أخيه";"Onun kardeşi"
"أَدَاؤُهَا";"أدائها";"Onun performansı, onun icrası"
"أَدْخَلَ";"أدخل";"Sokmak, içeri almak, dahil etmek"
"أُدْخِلَ";"أُدْخِلَ";"Sokuldu, içeri alındı"
"أُدْْخِلَتْ";"أُدْخِلَتْ";"Sokuldu, dahil edildi"
"أَدْخَلَهُ";"أدخله";"Onu soktu, onu içeri aldı"
"أَدْرِكْ";"أَدْرِكْ";"İdrak et, yetiş, fark et"
"أُدْرِكَ";"أُدْرِكَ";"İdrak edildi, anlaşıldı"
"أُدْرِكُ";"أُدرك";"Farkına varıyorum, idrak ediyorum, anlıyorum"
"أَدْرَكَتْ";"أدركت";"İdrak etti, anladı, fark etti"
"أَدْرَكْنَا";"أدركْنَا";"Fark ettik, idrak ettik, anladık"
"أَدْعِيَاءُ";"أدعياء";"Sahtekarlar, yalancılar, iddiacılar"
"أَدْعِيَةٌ";"أدعية";"Dualar, yakarışlar"
"أُدْغِمَتْ";"أُدْغِمَت";"İdğam edildi, birleştirildi"
"أَدَلَّ";"أدل";"İşaret etti, yol gösterdi, delil gösterdi"
"أَدْلَجَةٌ";"أدلجة";"İdeolojileştirme, ideolojiye dönüştürme"
"أَدْلَكَ";"أدلك";"Oğuşturdu, ovaladı"
"أَدْهَشَ";"أدهش";"Şaşırttı, hayrete düşürdü"
"أَدْهَى";"أدهى";"Daha zeki, daha kurnaz"
"أَدَوَاتٌ";"أدوات";"Aletler, araçlar, edevat"
"أَدَوَاتُ الزِّينَةِ";"أدوات الزينة";"Makyaj malzemeleri, süs eşyaları"
"أَدْوِيَةٌ";"أدوية";"İlaçlar"
"أَدَّى";"أدى";"Yaptı, yerine getirdi, sebep oldu, yol açtı"
"أَدِيبٌ";"أديب";"Edepli, terbiyeli, edebiyatçı"
"أُدِيرَ";"أُدِيرَ";"Yönetildi, idare edildi"
"أَدِيمٌ";"أديم";"Yüzey, deri, yerin yüzü"
"أَدِينُ";"أدين";"Borçlu olmak, borçlanmak, inanmak, dinine girmek"
"أُدِينَ";"أُدين";"Suçlandı, mahkum edildi"
"أَذَاعَ";"أذاع";"Yayınladı, duyurdu, ilan etti"
"أَذَاقَ";"أذاق";"Tattırdı, tattırmak"
"أَذَانٌ";"أَذَان";"Ezan, çağrı, duyuru"
"أَذَاهَا";"أذاها";"Ona zarar verdi, ona eziyet etti"
"آذَاهُمَا";"أذاهما";"İkisine de eziyet etti, ikisine de zarar verdi"
"أَذْرُعٌ";"أذرع";"Kollar, dirsekler"
"أَذْكَارٌ";"أَذْكَار";"Zikirler, anmalar, dualar"
"أَذْكُرُ";"أذكر";"Hatırlıyorum, anıyorum, zikrediyorum"
"أُذَكِّرُكَ";"أُذَكِّرُكَ";"Sana hatırlatıyorum"
"أَذْكَى";"أذكى";"Daha zeki, en zeki"
"أَذْكِيَاءُ";"أَذْكِيَاء";"Zekiler, akıllılar"
"أَذَنَ";"أَذَن";"İzin verdi, kulak verdi"
"أَذَّنَ";"أذن";"Ezan okumak, duyurmak, bildirmek"
"أُذُنٌ";"أُذُن";"Kulak"
"أُذِنَ";"أُذِنَ";"İzin verildi, kulak verildi"
"أُذُنَانِ";"أذنان";"İki kulak"
"أُذُنَيْنِ";"أذنين";"İki kulak"
"أُذُنَيْهِ";"أذنيه";"Onun iki kulağı"
"أَذْهَبَ";"أذهب";"götürdü, giderdi"
"أَذْهَبُ";"أذهب";"Gidiyorum"
"أَذْهَلَ";"أذهل";"Şaşırttı, hayrete düşürdü"
"أَذُوقُ";"أذوق";"Tadıyorum, tadına bakıyorum"
"أَرَأَى";"أرأى";"Gösterdi, bildirdi, düşündü"
"أَرَائِكُ";"أرائك";"Kanepeler, divanlar"
"أَرَاجِيحُ";"أراجيح";"Salıncaklar"
"أَرَاحَ";"أراح";"Rahatlatmak, dinlendirmek, huzur vermek"
"أَرَادَ";"أراد";"İstedi, aradı"
"أَرَادَتْ";"أرادت";"istedi, diledi"
"أَرَاضِيهِمْ";"أراضيهم";"Onların toprakları"
"أُرَاقِبُ";"أراقب";"Gözetliyorum, izliyorum, denetliyorum"
"أَرَاكَ";"أراك";"Seni görüyorum, seni göreceğim"
"أَرَاكَ لَاحِقًا";"أراك لاحقا";"Sonra görüşürüz, sonra görüşmek üzere"
"أَرَانِبُ";"أرانب";"Tavşanlar"
"أَرْبَاحٌ";"أرباح";"Kârlar, kazançlar"
"أَرْبَاحًا";"أرباحا";"Kârlar, kazançlar"
"أُرْبَةٌ";"أربة";"İhtiyaç, gereksinim, hacet"
"أَرْبَحُ";"أربح";"Kazanırım, daha karlı"
"أَرْبَعٌ";"أربع";"Dört"
"أَرْبِعَاءُ";"أربعاء";"Çarşamba"
"أَرْبَعَةٌ";"أربعة";"Dört"
"أَرْبَعَةَ عَشَرَ";"أربعة عشر";"On dört"
"أَرْبَعُونَ";"أربعون";"Kırk"
"أَرْبَكَ";"أربك";"şaşırttı, karıştırdı, tedirgin etti"
"أُرَتِّبُ";"أُرتب";"Düzenliyorum, sıralıyorum"
"أَرْتَدِي";"أرتدي";"Giyiyorum"
"أَرْتَكِبُ";"أرتكب";"İşliyorum, yapıyorum, irtikap ediyorum"
"أَرْجَاءُ";"أرجاء";"Çevre, etraf, bölge, taraf"
"أَرْجَاءِ";"أَرْجَاءِ";"Çevreler, etraflar, bölgeler"
"أَرْجَائِهِ";"أرجائه";"Onun etrafı, onun çevresi, onun köşeleri"
"أَرْجَائِهَا";"أرجائها";"Onun her tarafı, onun her yanı"
"أُرَجِّحُ";"أرجح";"Tercih ediyorum, daha olası görüyorum"
"أَرْجَعَ";"أرجع";"Geri döndürdü, iade etti"
"أُرْجِعَ";"أُرْجِعَ";"Geri verildi, iade edildi"
"أَرْجَنْتِينُ";"أرجنتين";"Arjantin"
"أَرْجُو";"أرجو";"Rica ediyorum, umuyorum, diliyorum"
"أُرْجُوحَةٌ";"أرجوحة";"Salıncak, tahterevalli"
"أَرَحْتَ";"أرحت";"Rahat ettirdin, dinlendirdin"
"أَرْحَمُ";"أرحم";"En merhametli, daha merhametli"
"أَرْخَى";"أرخى";"Gevşetti, saldı, indirdi"
"أَرَدَ";"أرد";"İstedi, diledi, arzu etti"
"أَرِدْ";"أرِدْ";"İste, dile"
"أَرَدْتَ";"أَرَدْتَ";"İstedin"
"أُرَدِّدُ";"أردّد";"Tekrar ediyorum, yineliyorum"
"أُرْدِيَّةٌ";"أُردية";"Urduca"
"أَرْذَلُ الْعُمُرِ";"أرذل العمر";"Ömrün en düşkün, en zayıf çağı, yaşlılık dönemi"
"أَرُزٌّ";"أرز";"Pilav, pirinç"
"أُرُزٌّ";"أُرُزٌّ";"Pirinç"
"أَرْزَاقًا";"أرزاقا";"Rızıklar, geçim kaynakları"
"أَرْزَقُ";"أَرْزَقْ";"Daha rızıklı, daha nasipdar"
"أَرِسْتِيَّةٌ";"أرستية";"Aristokrasi, soyluluk"
"أَرْسَلَ";"أرسل";"Gönderdi, yolladı"
"أُرْسِلَ";"أُرسل";"Gönderildi"
"أُرْسِلُ";"أُرسلُ";"Gönderiyorum, gönderirim"
"سَأُرْسِلُ";"أرسل";"Göndereceğim"
"أَرْسَلَ إِلَى";"أرسل إلى";"gönderdi, yolladı"
"أُرْسِلَ الْمُجْرِمُونَ";"أُرسل المجرمون";"Suçlular gönderildi"
"أَرْسَلْتَ";"أَرْسَلْتَ";"Gönderdin"
"أَرْسَلَهُ";"أَرْسَلَهُ";"Gönderdi onu"
"أَرْسَى";"أرسى";"Demir attı, kurdu, sabitledi"
"أَرْشَدَ";"أرشد";"Yol göstermek, rehberlik etmek, doğru yolu göstermek"
"أَرْضَعَ";"أرضع";"Emzirdi"
"أَرْضُهَا";"أرضها";"Onun toprağı, onun yeryüzü"
"أَرْضَى";"أرضى";"razı etti, memnun etti"
"أَرْضِيٌّ";"أرضي";"Topraksal, karasal, yerle ilgili"
"أَرْضِيَّةٌ";"أرضية";"Zemin, yer döşemesi, taban"
"أَرْغَبُ";"أرغب";"İstiyorum, arzu ediyorum"
"أَرْغِفَةٌ";"أرغفة";"Ekmekler"
"أَرْفَعُ";"أرفع";"Kaldırıyorum, yükseltiyorum"
"أَرَقٌ";"أرق";"Uykusuzluk"
"أَرِقَّاءُ";"أرقاء";"Köleler, esirler"
"أَرْقُبُ";"أرقب";"Gözetlemek, beklemek, izlemek"
"أَرْقَى";"أرقى";"En yüce, en üstün, en gelişmiş"
"أَرْكَانٌ";"أركان";"Direkler, sütunlar, esaslar, temeller"
"أَرْكَبُ";"أركب";"Biniyorum, bindiriyorum"
"أَرْكَسَ";"أركس";"Geri çevirdi, tersine döndürdü, eski haline getirdi"
"أَرْكُضُ";"أركض";"Koşuyorum"
"أَرْمَلُ";"أرمل";"Dul erkek"
"أَرْمَلَةٌ";"أرملة";"Dul kadın"
"أَرِنَا";"أَرِنَا";"Bize göster"
"أَرْنَبٌ";"أرنب";"Tavşan"
"أَرْوَاحٌ";"أَرواح";"Ruhlar, canlar"
"أَرُوحُ";"أروح";"Gidiyorum, gidip geliyorum"
"أَرْوَعُ";"أروع";"En harika, en muhteşem"
"أَرْوِقَةٌ";"أروقة";"Koridorlar, revaklar"
"أَرْوَى";"أروى";"Suladı, suya doyurdu"
"أَرَى";"أرى";"Görüyorum, sanıyorum"
"أَرْيَاقٌ";"أَرْيَاقٌ";"Tükürükler, salyalar"
"أُرِيدُ";"أريد";"İstiyorum, dilerim"
"أُرِيدُ أَنْ آتِيَ";"أريد أن آتي";"Gelmek istiyorum"
"أَرِيكَةٌ";"أريكة";"Kanepe, divan"
"أَزَّ";"أز";"Kışkırttı, tahrik etti, dürttü"
"أَزَحْتُ";"أزحت";"Uzaklaştırdım, kaldırdım, çektim"
"أَزْرَارٌ";"أزرار";"Düğmeler"
"أَزْرَعُ";"أزرع";"Ekiyorum, dikiyorum"
"أَزْرَقُ";"أزرق";"Mavi"
"أَزْرَقُ دَاكِنٌ";"أزرق داكن";"Lacivert"
"أَزْرَقُ فَاتِحٌ";"أزرق فاتح";"Açık mavi"
"أَزَرَهَا";"أزرها";"Ona yardım etti, onu destekledi"
"أَزْرَى";"أزرى";"ayıpladı, kınadı, hor gördü"
"أَزِقَّةٌ";"أزقة";"Sokaklar, dar yollar"
"أَزْكَى";"أزكا";"Daha temiz, daha saf, daha iyi"
"أَزَلَّ";"أَزَلّ";"Kaydırdı, sürçtürdü, ayağını kaydırdı"
"أَزْلَامٌ";"أزلام";"Putlar, fal okları, kötü kişiler"
"أَزَلْتُ";"أزلت";"Kaldırdım, yok ettim"
"أَزْلَقَ";"أزلق";"Kaydırdı, sürçtürdü"
"أَزَمَاتٌ";"أزمات";"Krizler, bunalımlar"
"أَزْمَةٌ اقْتِصَادِيَّةٌ";"أزمة اقتصادية";"Ekonomik kriz"
"أَزْمِنَةٌ";"أزمنة";"Zamanlar, devirler"
"أَزْهَارٌ";"أزهار";"Çiçekler"
"أَزْهَبَ";"أَزْهَبَ";"Götürdü, alıp götürdü"
"أَزْهَرَ";"أزهر";"çiçek açtı, parladı, aydınlandı"
"أَزْهَرَا";"أزهرا";"İki çiçek açtı, parladı"
"أَزِيدُ";"أزيد";"Artırıyorum, çoğaltıyorum"
"أُزِيلَ";"أزيل";"Kaldırıldı, giderildi"
"آسَارٌ";"أسآر";"Kalıntılar, artıklar, bakiye"
"أَسْأَلُ";"أسأل";"Soruyorum, rica ediyorum"
"أُسِئَتْ";"أسئت";"Kötülük yapıldı, kötü davranıldı"
"أَسْئِلَةٌ";"أسئلة";"Sorular"
"أَسَاءَتْ";"أسائت";"kötülük etti, kötü davrandı"
"أَسَابِيعُ";"أسابيع";"Haftalar"
"أَسَارِيرُ";"أسارير";"Yüz çizgileri, alın çizgileri, yüzdeki sevinç veya keder belirtileri"
"أَسَاسٌ";"أساس";"Temel, esas, baz"
"أَسَاسُ الْبَيْتِ";"أساس البيت";"Evin temeli"
"أَسَاسِيٌّ";"أساسي";"Temel, esas, ana"
"أَسَاسِيَّةٌ";"أساسية";"Temel, esas, ana"
"أَسَاطِيرُ";"أساطير";"Efsaneler, mitler"
"أَسَالَ";"أسال";"Akıttı, döktü, eritti"
"أَسَالِيبُ";"أساليب";"Yöntemler, metotlar, tarzlar"
"أُسَامَةُ";"أسامة";"Asame, Usame erkek ismi"
"أَسْبَابٌ";"أسْباب";"Nedenler, sebepler"
"اَلْأَسْبَابُ";"أسباب";"Sebepler, nedenler"
"أَسْبَاطٌ";"أَسْبَاط";"Torunlar, evlatlar, kabileler"
"أَسْبَقَ";"أسبق";"Öne geçti, önce davrandı"
"أُسْبُوعٌ مَاضٍ";"أُسْبُوعٌ مَاضٍ";"Geçen hafta"
"أُسْبُوعَيْنِ";"أسبوعين";"İki hafta"
